日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2025-11-21,=5554.5200,=11610.3700,=21894363480425.4102,=15532540014239,=4515179519839.4492,=0.8287,=0.4362,=1.1170,=0.8807,=0.7113
2025-11-20,=5656.0400,=11818.5400,=22086890213866.6797,=15687480693802,=4574556256217.3672,=0.8357,=0.4487,=1.1170,=0.8808,=0.7113
2025-11-19,=5668.6600,=11840.7400,=21935640900259.8047,=15652928558175,=4560303016300.6484,=0.8299,=0.4380,=1.1170,=0.8812,=0.7113
2025-11-18,=5659.7800,=11822.1800,=21637430715879.0430,=15447326142178,=4519728479723.4902,=0.8186,=0.4183,=1.1175,=0.8815,=0.7113
2025-11-17,=5739.3200,=11988.3400,=21747597487528.6836,=15542296126489,=4552401188290.6094,=0.8227,=0.4245,=1.1177,=0.8816,=0.7113
2025-11-14,=5767.5600,=12047.3200,=21941206333346.4492,=15668288978880,=4592922741163.9395,=0.8301,=0.4370,=1.1179,=0.8819,=0.7113
2025-11-13,=5801.9900,=12119.2400,=21964617564776.8281,=15704027478740,=4602197239060.4600,=0.8310,=0.4376,=1.1179,=0.8819,=0.7113
2025-11-12,=5786.4200,=12086.7200,=21985186132511.7461,=15711500194582,=4594585638750.1895,=0.8317,=0.4393,=1.1180,=0.8820,=0.7113
2025-11-11,=5782.5900,=12078.7200,=21775732346341.5586,=15549414550481,=4568056573354.3584,=0.8238,=0.4257,=1.1180,=0.8822,=0.7113
2025-11-10,=5795.3900,=12103.6800,=21727794282228.0391,=15516157778385,=4568201887466.0479,=0.8220,=0.4236,=1.1182,=0.8825,=0.7113
2025-11-07,=5752.9400,=12011.5700,=21564570770620.2109,=15407101670234,=4536165471461.7217,=0.8152,=0.4123,=1.1188,=0.8829,=0.7113
2025-11-06,=5745.9000,=11996.8600,=21598392947463.2578,=15421094948898,=4537016695767.4492,=0.8165,=0.4138,=1.1188,=0.8829,=0.7113
2025-11-05,=5723.3900,=11949.8600,=21613074501710.4023,=15420645801044,=4528287593778.6396,=0.8171,=0.4146,=1.1188,=0.8835,=0.7113
2025-11-04,=5699.4500,=11899.8700,=21633022883992.0391,=15412198079598,=4526266261336.8115,=0.8178,=0.4162,=1.1190,=0.8840,=0.7113
2025-11-03,=5678.4300,=11855.9900,=21337049758529.2500,=15224833890010,=4476386732481.1611,=0.8066,=0.4014,=1.1191,=0.8843,=0.7113
2025-10-31,=5627.6700,=11750.0100,=21008982435309.9258,=15002715085784,=4425768762025.4111,=0.7942,=0.3852,=1.1194,=0.8856,=0.7113
2025-10-30,=5630.5500,=11756.0300,=21158691105303.7109,=15098209431898,=4423728385520.6191,=0.8167,=0.4129,=1.1194,=0.8861,=0.7113
2025-10-29,=5653.7500,=11804.4700,=21152470817018.4414,=15097481469134,=4426988474426.5996,=0.8175,=0.4142,=1.1199,=0.8873,=0.7113
2025-10-28,=5651.6500,=11799.2300,=21386253281620.4688,=15261239703447,=4469987682227.0088,=0.8292,=0.4315,=1.1199,=0.8879,=0.7113
2025-10-27,=5681.5000,=11861.5400,=21384646566415.2813,=15258648853535,=4503922181386.8418,=0.8294,=0.4323,=1.1199,=0.8885,=0.7113
2025-10-24,=5655.0800,=11806.3800,=21210696582070.0117,=15121611841095,=4486160875434.9785,=0.8232,=0.4214,=1.1203,=0.8901,=0.7113
2025-10-23,=5691.9000,=11867.9100,=21262727576128.4570,=15169721270428,=4510145512150.1494,=0.8244,=0.4232,=1.1203,=0.8902,=0.7113
2025-10-22,=5645.9000,=11771.5500,=21112932135158.4883,=15060899099158,=4476691057096.9609,=0.8186,=0.4150,=1.1205,=0.8904,=0.7113
2025-10-21,=5640.3600,=11759.9900,=20869345647329.0039,=14884577302842,=4446702395977.8184,=0.8092,=0.4035,=1.1206,=0.8907,=0.7113
2025-10-20,=5637.9400,=11754.9300,=20781457599517.6406,=14819949238699,=4440422793352.3994,=0.8058,=0.3989,=1.1206,=0.8912,=0.7113
2025-10-17,=5596.3200,=11667.4100,=20657467194340.9414,=14715512213338,=4422095953244.7695,=0.8009,=0.3934,=1.1209,=0.8916,=0.7113
2025-10-16,=5639.6000,=11757.6400,=20683667130174.7266,=14731106159805,=4449213433910.9209,=0.8020,=0.3940,=1.1209,=0.8917,=0.7113
2025-10-15,=5620.2000,=11712.1500,=20325516505195.3398,=14497005986848,=4407852386677.4180,=0.7879,=0.3788,=1.1211,=0.8922,=0.7113
2025-10-14,=5596.2900,=11659.0700,=20207998070432.2109,=14414297588367,=4369798404396.5410,=0.7834,=0.3718,=1.1211,=0.8926,=0.7113
2025-10-13,=5534.3200,=11529.9600,=19789472470499.6445,=14113959075582,=4287866042847.5498,=0.7671,=0.3479,=1.1213,=0.8927,=0.7113
2025-10-10,=5559.0500,=11581,=19775669382399.3594,=14093959575301,=4278959587023.2510,=0.7666,=0.3440,=1.1216,=0.8930,=0.7113
2025-10-09,=5502.3800,=11462.9400,=19665807684109.1836,=13992440779170,=4251029414520.3799,=0.7623,=0.3269,=1.1216,=0.8934,=0.7113
2025-09-30,=5461.0800,=11376.9100,=19533086625464.4961,=13891762094088,=4234962950765.8101,=0.7572,=0.3082,=1.1221,=0.8939,=0.7113
2025-09-29,=5474.3900,=11403.6800,=19599236812108.1953,=13948339524746,=4260040941737.6602,=0.7597,=0.3189,=1.1225,=0.8940,=0.7113
2025-09-26,=5455.0100,=11354.8100,=19678316991776.3242,=13995215446028,=4262586080106.1699,=0.7629,=0.3270,=1.1231,=0.8948,=0.7113
2025-09-25,=5440.5100,=11320.5600,=19673242803567.1250,=13973475548490,=4254558572883.4697,=0.7626,=0.3259,=1.1231,=0.8951,=0.7113
2025-09-24,=5467.0400,=11375.7600,=19754846944658.7227,=14027537005201,=4273395003605.4502,=0.7657,=0.3379,=1.1233,=0.8951,=0.7113
2025-09-23,=5454.0600,=11346.7500,=19798419782980.3672,=14045408703285,=4275210927272.0991,=0.7674,=0.3457,=1.1235,=0.8953,=0.7113
2025-09-22,=5434.0400,=11305.1100,=19496007671805.2695,=13862009312302,=4239796639547.8789,=0.7556,=0.3029,=1.1235,=0.8959,=0.7113
2025-09-19,=5468.7300,=11377.2800,=19742662679597.5547,=14001417190068,=4276369256649.9321,=0.7652,=0.3353,=1.1243,=0.8968,=0.7113
2025-09-18,=5424.1300,=11284.4800,=19768232722748.2656,=14043222103411,=4268207003889.2090,=0.7662,=0.3383,=1.1243,=0.8973,=0.7113
2025-09-17,=5522.2900,=11488.7000,=20211999921483.9453,=14352452047772,=4352613869166.5010,=0.7834,=0.3667,=1.1246,=0.8979,=0.7113
2025-09-16,=5508.9700,=11458.4100,=20259457150269.6602,=14394769800784,=4358583392836.2002,=0.7839,=0.3667,=1.1249,=0.8979,=0.7113
2025-09-15,=5511.1400,=11457.6400,=20416990534810.3945,=14516084321314,=4398166354807.8496,=0.7898,=0.3749,=1.1253,=0.8979,=0.7113
2025-09-12,=5529.9500,=11494.0400,=20509542110274.1133,=14575632407571,=4422741304326.5488,=0.7933,=0.3768,=1.1255,=0.8983,=0.7113
2025-09-11,=5559.8100,=11552.7300,=20675875270330.4063,=14697717533180,=4473352350482.0195,=0.7994,=0.3840,=1.1255,=0.8984,=0.7113
2025-09-10,=5537.7900,=11503.0500,=20607747965314.3047,=14648838818668,=4445907770340.9697,=0.7968,=0.3794,=1.1262,=0.8986,=0.7113
2025-09-09,=5565.0300,=11559.6300,=20594250901272.8867,=14672290607325,=4456157634856.6992,=0.7962,=0.3786,=1.1277,=0.8986,=0.7113
2025-09-08,=5552.5900,=11533.7900,=20535853181606.7305,=14624289560395,=4434268933637.2197,=0.7940,=0.3774,=1.1280,=0.8986,=0.7113
2025-09-05,=5510.0400,=11445.4100,=20605868074010.5586,=14665691730686,=4455599592093.3105,=0.7967,=0.3780,=1.1286,=0.8994,=0.7113
2025-09-04,=5493.0800,=11410.1800,=20854210201199.6250,=14830829947533,=4475742392448.0215,=0.8063,=0.3893,=1.1286,=0.8995,=0.7113
2025-09-03,=5495.4700,=11415.1500,=20630855505912.9688,=14665184682777,=4458591208214.8818,=0.7977,=0.3788,=1.1286,=0.9000,=0.7113
2025-09-02,=5542.1700,=11512.1600,=20829223759151.2656,=14800564328327,=4500980962532.9297,=0.8053,=0.3876,=1.1286,=0.9004,=0.7113
2025-09-01,=5524.7500,=11475.9700,=20469613297046.4609,=14552396867869,=4452876443183.9492,=0.7914,=0.3760,=1.1289,=0.9005,=0.7113
2025-08-29,=5538.0400,=11503.5700,=20534437577655.0352,=14705250979411,=4494324679711.7979,=0.8072,=0.3886,=1.1291,=0.9009,=0.7113
2025-08-28,=5544.1900,=11510.4900,=20589853469598.7734,=14752903619666,=4512793495423.2422,=0.8101,=0.3929,=1.1291,=0.9009,=0.7113
2025-08-27,=5532.4300,=11486.0800,=20615980233663.5313,=14772795612652,=4489121829308.7988,=0.8126,=0.3950,=1.1293,=0.9011,=0.7113
